,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
9558,ca,f,college,23.58,0.0,65.0,1.0,personal auto,four-door car,294.5
9559,az,f,college,26.71,45525.0,66.0,0.0,personal auto,two-door car,316.8
9560,or,f,bachelor,29.39,96765.0,72.0,0.0,personal auto,two-door car,216.01
9561,or,m,college,49.11,32903.0,64.0,3.0,personal auto,four-door car,98.33
9562,ca,m,college,54.99,22520.0,73.0,0.0,corporate auto,four-door car,350.4
9563,ca,f,high school or below,47.57,67486.0,118.0,0.0,personal auto,two-door car,529.49
9564,nv,f,college,29.27,92381.0,72.0,0.0,special auto,four-door car,234.77
9565,ca,m,master,85.1,26057.0,74.0,0.0,personal auto,four-door car,523.89
9566,or,f,doctor,99.29,75716.0,247.0,0.0,personal auto,luxury car,562.09
9567,ca,f,high school or below,100.9,63657.0,128.0,0.0,corporate auto,sports car,614.4
9568,az,m,doctor,50.73,57709.0,125.0,0.0,personal auto,suv,600.0
9569,or,f,master,163.02,19614.0,85.0,0.0,personal auto,two-door car,574.02
9570,ca,m,high school or below,33.6,75216.0,84.0,1.0,corporate auto,four-door car,65.8
9571,nv,m,college,79.07,24666.0,101.0,0.0,personal auto,sports car,151.84
9572,nv,f,high school or below,283.28,20799.0,111.0,0.0,personal auto,sports car,389.0
9573,ca,m,college,44.68,0.0,64.0,0.0,corporate auto,four-door car,307.2
9574,or,f,high school or below,90.36,34337.0,113.0,0.0,personal auto,four-door car,542.4
9575,or,m,bachelor,53.64,53562.0,135.0,0.0,personal auto,suv,589.63
9576,nv,f,college,27.07,22664.0,73.0,0.0,personal auto,two-door car,350.4
9577,az,m,high school or below,61.68,27289.0,158.0,2.0,personal auto,sports car,758.4
9578,az,f,master,24.76,54831.0,61.0,0.0,personal auto,four-door car,136.22
9579,ca,f,high school or below,30.57,78310.0,76.0,0.0,personal auto,four-door car,364.8
9580,ca,f,bachelor,52.18,39854.0,66.0,0.0,corporate auto,two-door car,261.93
9581,or,m,high school or below,67.44,0.0,90.0,0.0,personal auto,four-door car,547.91
9582,az,f,master,157.4,48096.0,131.0,0.0,personal auto,sports car,450.09
9583,az,f,high school or below,71.54,59522.0,89.0,0.0,corporate auto,four-door car,427.2
9584,wa,m,high school or below,82.63,0.0,79.0,1.0,corporate auto,two-door car,46.46
9585,ca,m,bachelor,31.43,43285.0,83.0,0.0,corporate auto,two-door car,265.74
9586,ca,m,college,26.92,33104.0,70.0,1.0,personal auto,two-door car,336.0
9587,az,m,college,25.01,56172.0,64.0,0.0,personal auto,four-door car,307.2
9588,or,m,master,37.29,83632.0,94.0,4.0,personal auto,four-door car,216.84
9589,az,f,bachelor,29.37,0.0,81.0,0.0,personal auto,two-door car,388.8
9590,ca,m,bachelor,103.92,81439.0,90.0,1.0,personal auto,two-door car,108.12
9591,ca,f,college,29.94,55911.0,74.0,0.0,personal auto,four-door car,187.93
9592,or,m,bachelor,142.04,90456.0,71.0,0.0,personal auto,four-door car,165.06
9593,az,f,bachelor,44.91,0.0,64.0,0.0,personal auto,two-door car,254.4
9594,wa,m,high school or below,109.64,55687.0,276.0,0.0,personal auto,luxury suv,1324.8
9595,ca,m,college,35.09,20978.0,98.0,1.0,personal auto,four-door car,1176.28
9596,or,m,high school or below,49.43,82093.0,62.0,0.0,personal auto,four-door car,266.93
9597,az,m,high school or below,62.19,51944.0,156.0,0.0,corporate auto,sports car,748.8
9598,nv,m,college,61.56,78824.0,77.0,0.0,personal auto,four-door car,267.7
9599,ca,m,bachelor,214.24,0.0,65.0,0.0,special auto,two-door car,312.0
9600,ca,m,college,59.27,23091.0,96.0,5.0,personal auto,four-door car,460.8
9601,or,f,college,102.95,24723.0,129.0,0.0,corporate auto,sports car,619.2
9602,az,m,bachelor,27.11,31998.0,69.0,0.0,corporate auto,four-door car,331.2
9603,ca,f,college,33.63,80138.0,83.0,0.0,personal auto,four-door car,209.43
9604,ca,m,college,31.23,72916.0,80.0,0.0,personal auto,two-door car,384.0
9605,wa,f,high school or below,62.21,0.0,65.0,2.0,corporate auto,four-door car,468.0
9606,ca,f,high school or below,34.55,0.0,91.0,0.0,personal auto,four-door car,681.04
9607,ca,f,bachelor,118.55,0.0,170.0,0.0,corporate auto,suv,1227.49
9608,ca,m,bachelor,71.64,44527.0,94.0,2.0,personal auto,four-door car,286.96
9609,or,m,bachelor,31.58,46655.0,82.0,0.0,personal auto,four-door car,336.89
9610,ca,m,bachelor,83.36,0.0,67.0,2.0,personal auto,two-door car,445.27
9611,az,f,high school or below,58.09,26975.0,73.0,0.0,personal auto,two-door car,548.33
9612,or,f,master,100.16,62900.0,62.0,0.0,personal auto,two-door car,83.9
9613,ca,f,bachelor,49.15,14232.0,64.0,0.0,personal auto,four-door car,307.2
9614,wa,f,bachelor,27.51,34200.0,70.0,0.0,corporate auto,four-door car,167.3
9615,ca,f,bachelor,56.77,0.0,77.0,0.0,personal auto,four-door car,369.6
9616,ca,m,college,23.93,22981.0,69.0,0.0,personal auto,four-door car,16.8
9617,or,f,college,81.27,14616.0,107.0,0.0,personal auto,suv,513.6
9618,ca,f,master,27.75,0.0,74.0,0.0,personal auto,four-door car,355.2
9619,or,f,high school or below,43.01,88590.0,107.0,0.0,personal auto,two-door car,41.72
9620,wa,f,high school or below,52.21,60445.0,65.0,0.0,personal auto,four-door car,279.45
9621,nv,f,high school or below,123.84,40602.0,105.0,0.0,personal auto,sports car,459.9
9622,or,f,college,76.81,66795.0,64.0,0.0,personal auto,four-door car,238.03
9623,or,f,doctor,40.14,37384.0,99.0,0.0,personal auto,four-door car,475.2
9624,az,f,high school or below,42.5,0.0,61.0,1.0,personal auto,four-door car,292.8
9625,az,f,master,46.25,28264.0,61.0,4.0,corporate auto,four-door car,167.89
9626,az,f,bachelor,277.9,33806.0,89.0,0.0,special auto,four-door car,395.73
9627,ca,m,high school or below,73.46,79980.0,91.0,0.0,personal auto,two-door car,629.82
9628,or,f,high school or below,53.24,64706.0,135.0,0.0,corporate auto,suv,77.13
9629,nv,f,college,44.26,29660.0,112.0,0.0,personal auto,suv,334.13
9630,or,f,bachelor,68.52,26313.0,87.0,0.0,corporate auto,two-door car,417.6
9631,or,m,bachelor,35.34,19861.0,93.0,0.0,corporate auto,four-door car,446.4
9632,or,f,college,43.49,75648.0,108.0,0.0,personal auto,suv,112.66
9633,or,f,college,296.77,33992.0,194.0,1.0,personal auto,suv,931.2
9634,nv,f,bachelor,242.39,0.0,109.0,2.0,personal auto,suv,784.8
9635,ca,f,college,116.39,25370.0,102.0,0.0,personal auto,sports car,489.6
9636,az,m,college,135.59,98036.0,113.0,0.0,personal auto,suv,662.44
9637,ca,f,college,42.83,40864.0,109.0,1.0,personal auto,suv,166.94
9638,ca,f,bachelor,91.45,21150.0,116.0,0.0,personal auto,suv,833.42
9639,ca,f,college,74.34,49057.0,63.0,0.0,personal auto,two-door car,29.62
9640,ca,f,high school or below,61.59,97658.0,76.0,1.0,personal auto,four-door car,364.8
9641,ca,m,bachelor,38.83,0.0,109.0,0.0,personal auto,suv,765.91
9642,or,f,bachelor,106.23,25634.0,67.0,0.0,personal auto,four-door car,144.73
9643,ca,m,high school or below,52.57,56154.0,67.0,0.0,personal auto,two-door car,386.16
9644,az,m,bachelor,48.81,90892.0,61.0,0.0,personal auto,two-door car,102.32
9645,nv,f,college,131.98,0.0,68.0,3.0,personal auto,four-door car,326.4
9646,or,m,doctor,53.34,72960.0,68.0,1.0,personal auto,four-door car,143.54
9647,ca,f,high school or below,49.65,0.0,73.0,1.0,personal auto,two-door car,525.6
9648,or,f,bachelor,54.7,54507.0,138.0,0.0,corporate auto,suv,702.99
9649,az,f,college,37.14,81190.0,92.0,0.0,corporate auto,two-door car,356.56
9650,or,f,college,28.95,28204.0,73.0,0.0,personal auto,four-door car,486.99
9651,or,m,high school or below,19.41,0.0,66.0,3.0,personal auto,two-door car,475.2
9652,ca,f,master,26.47,26441.0,66.0,0.0,corporate auto,two-door car,210.64
9653,or,f,bachelor,54.62,42650.0,69.0,0.0,personal auto,four-door car,35.57
9654,wa,m,high school or below,26.62,29195.0,68.0,0.0,personal auto,two-door car,448.18
9655,az,f,high school or below,23.97,22283.0,65.0,0.0,special auto,four-door car,572.07
9656,az,m,college,45.68,15383.0,61.0,0.0,corporate auto,two-door car,292.8
9657,ca,m,bachelor,55.35,16101.0,74.0,0.0,personal auto,four-door car,437.61
9658,or,m,bachelor,60.57,27681.0,83.0,0.0,personal auto,two-door car,398.4
9659,az,f,bachelor,106.57,72540.0,88.0,0.0,personal auto,two-door car,631.74
9660,wa,f,bachelor,137.98,42780.0,181.0,2.0,personal auto,luxury suv,868.8
9661,wa,f,bachelor,180.6,57882.0,115.0,0.0,corporate auto,suv,552.0
9662,nv,f,college,26.9,60060.0,67.0,0.0,personal auto,four-door car,320.63
9663,ca,m,college,74.09,61160.0,96.0,0.0,corporate auto,two-door car,354.53
9664,or,f,college,49.92,93416.0,62.0,0.0,personal auto,two-door car,246.25
9665,az,f,college,44.34,83220.0,110.0,0.0,personal auto,four-door car,528.0
9666,or,m,high school or below,147.49,31226.0,93.0,0.0,personal auto,four-door car,446.4
9667,ca,f,high school or below,49.16,66982.0,121.0,0.0,corporate auto,suv,871.2
9668,or,m,bachelor,124.96,0.0,61.0,0.0,corporate auto,two-door car,292.8
9669,nv,m,bachelor,128.78,0.0,117.0,0.0,personal auto,four-door car,561.6
9670,wa,m,doctor,67.76,27354.0,86.0,1.0,personal auto,two-door car,412.8
9671,wa,m,doctor,75.41,61726.0,96.0,2.0,personal auto,two-door car,689.51
9672,az,m,college,59.9,66839.0,154.0,0.0,personal auto,sports car,739.2
9673,ca,m,college,91.71,60433.0,77.0,0.0,personal auto,four-door car,369.6
9674,ca,m,bachelor,215.29,11538.0,82.0,0.0,corporate auto,four-door car,393.6
9675,nv,m,high school or below,26.76,67837.0,69.0,4.0,personal auto,four-door car,430.48
9676,ca,f,bachelor,92.46,40032.0,118.0,2.0,personal auto,suv,717.76
9677,wa,m,master,48.61,41126.0,61.0,0.0,corporate auto,four-door car,199.28
9678,ca,m,college,24.71,65176.0,62.0,0.0,personal auto,four-door car,297.6
9679,or,f,bachelor,27.61,34717.0,70.0,2.0,special auto,four-door car,336.0
9680,ca,m,college,42.7,0.0,122.0,0.0,personal auto,suv,725.87
9681,az,f,high school or below,31.36,0.0,89.0,0.0,personal auto,four-door car,640.8
9682,ca,m,master,77.55,0.0,110.0,0.0,personal auto,four-door car,528.0
9683,wa,f,bachelor,49.28,0.0,67.0,0.0,personal auto,two-door car,132.44
9684,or,m,bachelor,66.62,0.0,95.0,0.0,personal auto,four-door car,456.0
9685,ca,m,high school or below,65.3,44379.0,83.0,1.0,special auto,four-door car,398.4
9686,or,f,college,32.93,0.0,94.0,0.0,corporate auto,four-door car,676.8
9687,az,m,high school or below,51.55,82730.0,127.0,0.0,corporate auto,suv,442.52
9688,wa,f,high school or below,55.97,37995.0,139.0,0.0,personal auto,suv,667.2
9689,ca,f,bachelor,207.67,0.0,73.0,2.0,personal auto,two-door car,350.4
9690,or,f,doctor,54.23,85018.0,68.0,3.0,personal auto,four-door car,62.84
9691,or,m,bachelor,55.53,0.0,89.0,1.0,personal auto,two-door car,640.8
9692,ca,f,bachelor,55.04,0.0,73.0,0.0,corporate auto,four-door car,350.4
9693,ca,m,high school or below,126.64,72109.0,105.0,0.0,personal auto,sports car,504.0
9694,az,m,bachelor,55.48,67798.0,69.0,0.0,personal auto,four-door car,331.2
9695,wa,f,high school or below,43.9,0.0,118.0,1.0,personal auto,suv,670.66
9696,or,f,bachelor,26.05,0.0,74.0,0.0,corporate auto,four-door car,532.8
9697,or,m,college,29.19,80714.0,72.0,0.0,personal auto,four-door car,345.6
9698,ca,m,high school or below,24.88,38667.0,63.0,0.0,personal auto,four-door car,293.07
9699,or,f,bachelor,90.83,34430.0,117.0,0.0,personal auto,four-door car,232.88
9700,or,f,high school or below,55.58,83576.0,69.0,0.0,personal auto,two-door car,331.2
9701,nv,f,bachelor,51.07,35625.0,65.0,1.0,personal auto,four-door car,288.57
9702,wa,f,college,55.7,85718.0,139.0,1.0,personal auto,sports car,540.17
9703,ca,f,high school or below,55.95,74454.0,71.0,0.0,personal auto,four-door car,340.8
9704,nv,m,college,112.44,66146.0,96.0,0.0,personal auto,two-door car,250.7
9705,or,m,high school or below,61.14,0.0,88.0,0.0,personal auto,four-door car,1034.8
9706,ca,f,bachelor,52.71,13215.0,74.0,1.0,corporate auto,four-door car,443.77
9707,or,m,high school or below,27.47,62302.0,70.0,0.0,personal auto,four-door car,504.0
9708,nv,f,high school or below,47.3,0.0,124.0,0.0,corporate auto,sports car,630.86
9709,or,f,high school or below,88.8,52583.0,113.0,0.0,special auto,suv,528.2
9710,az,m,bachelor,31.06,22076.0,85.0,0.0,personal auto,four-door car,422.77
9711,az,m,bachelor,58.6,94527.0,73.0,0.0,personal auto,four-door car,41.46
9712,az,f,high school or below,90.36,34337.0,113.0,0.0,personal auto,four-door car,542.4
9713,nv,f,master,72.57,29053.0,181.0,0.0,personal auto,sports car,404.95
9714,or,f,high school or below,144.29,0.0,68.0,0.0,personal auto,two-door car,326.4
9715,or,f,college,27.88,62506.0,69.0,0.0,personal auto,two-door car,331.2
9716,ca,f,bachelor,48.45,0.0,65.0,0.0,personal auto,two-door car,129.17
9717,az,m,bachelor,54.6,45404.0,70.0,2.0,corporate auto,two-door car,266.14
9718,ca,m,bachelor,265.12,28773.0,229.0,0.0,personal auto,luxury car,1099.2
9719,nv,f,college,31.41,24019.0,79.0,0.0,personal auto,four-door car,47.23
9720,nv,f,bachelor,25.45,0.0,71.0,0.0,special auto,four-door car,340.8
9721,az,f,college,83.56,23666.0,104.0,0.0,personal auto,suv,499.2
9722,or,m,bachelor,38.37,36794.0,99.0,0.0,personal auto,four-door car,712.8
9723,or,f,bachelor,25.35,25163.0,67.0,0.0,corporate auto,two-door car,321.6
9724,nv,m,doctor,57.62,66156.0,72.0,0.0,personal auto,four-door car,345.6
9725,ca,f,bachelor,159.37,0.0,76.0,0.0,personal auto,four-door car,364.8
9726,az,m,high school or below,125.53,10147.0,67.0,0.0,personal auto,four-door car,459.28
9727,az,f,college,23.52,0.0,64.0,0.0,corporate auto,four-door car,381.06
9728,or,f,college,49.36,95765.0,61.0,0.0,personal auto,four-door car,352.09
9729,or,f,college,53.56,60752.0,67.0,0.0,personal auto,four-door car,414.11
9730,or,m,high school or below,37.4,0.0,104.0,1.0,personal auto,suv,499.2
9731,ca,f,college,24.89,31058.0,67.0,5.0,personal auto,two-door car,309.42
9732,ca,m,high school or below,71.88,13542.0,94.0,0.0,personal auto,four-door car,451.2
9733,az,f,bachelor,350.22,25270.0,99.0,0.0,personal auto,two-door car,712.8
9734,az,f,bachelor,26.62,24152.0,72.0,2.0,personal auto,four-door car,345.6
9735,wa,f,college,122.01,60282.0,102.0,0.0,corporate auto,suv,120.08
9736,ca,f,high school or below,290.07,40252.0,104.0,0.0,personal auto,sports car,499.2
9737,nv,m,college,38.74,28142.0,105.0,0.0,personal auto,sports car,701.71
9738,ca,m,high school or below,24.72,95697.0,61.0,0.0,corporate auto,two-door car,114.27
9739,ca,m,bachelor,26.89,89771.0,67.0,2.0,personal auto,two-door car,104.12
9740,ca,m,master,25.51,79751.0,63.0,0.0,personal auto,two-door car,392.24
9741,or,f,high school or below,49.5,0.0,69.0,0.0,corporate auto,four-door car,331.2
9742,ca,f,high school or below,61.44,45032.0,77.0,0.0,personal auto,four-door car,36.82
9743,az,m,master,88.37,62277.0,113.0,0.0,corporate auto,suv,249.8
9744,or,f,bachelor,95.17,0.0,87.0,0.0,personal auto,four-door car,417.6
9745,az,f,bachelor,28.8,40525.0,73.0,0.0,personal auto,four-door car,123.79
9746,or,f,high school or below,28.05,26004.0,70.0,0.0,personal auto,four-door car,336.0
9747,ca,f,college,60.46,82399.0,77.0,3.0,personal auto,four-door car,31.67
9748,nv,f,bachelor,52.46,28909.0,66.0,0.0,personal auto,two-door car,456.7
9749,ca,m,high school or below,47.73,15323.0,128.0,0.0,personal auto,suv,614.4
9750,wa,f,college,38.68,79628.0,98.0,0.0,personal auto,four-door car,470.4
9751,or,f,high school or below,33.83,0.0,97.0,0.0,corporate auto,two-door car,698.4
9752,nv,m,college,95.21,27769.0,121.0,0.0,special auto,suv,123.15
9753,ca,m,bachelor,76.15,16707.0,102.0,0.0,special auto,four-door car,1106.91
9754,nv,f,college,113.08,0.0,66.0,0.0,personal auto,four-door car,316.8
9755,ca,f,bachelor,33.51,94395.0,83.0,0.0,personal auto,four-door car,582.69
9756,ca,m,bachelor,26.83,84895.0,67.0,0.0,corporate auto,two-door car,321.6
9757,nv,m,master,425.62,66661.0,119.0,0.0,personal auto,suv,571.2
9758,nv,m,high school or below,20.87,0.0,62.0,0.0,personal auto,two-door car,446.4
9759,nv,f,high school or below,48.69,31447.0,121.0,0.0,personal auto,suv,580.8
9760,wa,f,college,50.21,61987.0,125.0,0.0,personal auto,suv,723.3
9761,or,f,college,36.72,42460.0,91.0,0.0,personal auto,two-door car,347.48
9762,or,m,college,52.53,12811.0,150.0,2.0,corporate auto,suv,720.0
9763,or,m,bachelor,120.37,44428.0,104.0,0.0,corporate auto,suv,499.2
9764,az,f,college,35.09,0.0,97.0,0.0,personal auto,four-door car,698.4
9765,nv,m,college,38.18,25221.0,103.0,5.0,special auto,four-door car,616.01
9766,or,f,bachelor,25.7,44940.0,65.0,0.0,corporate auto,four-door car,284.49
9767,or,f,college,28.46,39192.0,71.0,0.0,corporate auto,four-door car,352.79
9768,ca,m,high school or below,72.92,0.0,68.0,0.0,personal auto,two-door car,415.99
9769,ca,f,college,105.81,42513.0,133.0,0.0,corporate auto,sports car,628.21
9770,or,m,high school or below,231.44,59821.0,193.0,0.0,personal auto,luxury suv,1389.6
9771,ca,f,college,46.05,22571.0,63.0,0.0,corporate auto,four-door car,302.4
9772,wa,f,bachelor,39.39,60021.0,99.0,0.0,corporate auto,four-door car,882.87
9773,ca,f,high school or below,81.04,58172.0,67.0,0.0,personal auto,four-door car,141.53
9774,or,m,bachelor,41.65,58299.0,105.0,1.0,personal auto,four-door car,504.0
9775,or,m,college,140.65,25275.0,61.0,0.0,corporate auto,four-door car,214.25
9776,or,f,college,219.92,80807.0,109.0,0.0,personal auto,suv,132.14
9777,az,f,bachelor,75.91,52348.0,65.0,1.0,personal auto,two-door car,312.0
9778,wa,f,bachelor,80.19,58843.0,68.0,0.0,corporate auto,two-door car,200.49
9779,nv,f,master,35.55,58557.0,88.0,0.0,corporate auto,four-door car,55.51
9780,or,f,bachelor,39.46,0.0,105.0,0.0,personal auto,suv,933.21
9781,or,m,college,29.16,86599.0,73.0,0.0,corporate auto,four-door car,350.4
9782,az,f,master,55.55,52984.0,69.0,0.0,personal auto,two-door car,167.67
9783,or,f,master,53.29,0.0,72.0,0.0,personal auto,four-door car,345.6
9784,or,f,high school or below,55.03,0.0,72.0,0.0,corporate auto,four-door car,345.6
9785,or,f,bachelor,76.07,47778.0,96.0,0.0,personal auto,four-door car,173.81
9786,az,f,bachelor,277.9,33806.0,89.0,0.0,corporate auto,four-door car,395.73
9787,or,m,high school or below,59.71,52018.0,78.0,3.0,personal auto,four-door car,374.4
9788,ca,f,bachelor,22.48,24910.0,63.0,1.0,corporate auto,four-door car,347.86
9789,nv,m,college,107.46,39135.0,91.0,0.0,personal auto,four-door car,436.8
9790,or,f,college,72.24,0.0,97.0,0.0,personal auto,four-door car,465.6
9791,ca,m,high school or below,93.84,0.0,133.0,0.0,personal auto,suv,957.6
9792,or,m,high school or below,57.09,0.0,78.0,0.0,personal auto,four-door car,410.41
9793,az,m,bachelor,49.84,28726.0,65.0,0.0,personal auto,four-door car,468.0
9794,or,m,doctor,135.61,0.0,122.0,0.0,special auto,sports car,585.6
9795,az,f,master,72.18,45356.0,90.0,0.0,personal auto,four-door car,462.04
9796,az,m,high school or below,51.6,87050.0,129.0,0.0,personal auto,suv,619.2
9797,nv,m,bachelor,131.15,20705.0,171.0,1.0,personal auto,suv,237.26
9798,ca,f,master,298.75,52651.0,94.0,0.0,personal auto,two-door car,451.2
9799,or,f,master,202.37,55270.0,63.0,0.0,personal auto,two-door car,302.4
9800,az,m,college,25.81,46900.0,66.0,0.0,personal auto,four-door car,316.8
9801,ca,m,college,395.61,60500.0,110.0,0.0,personal auto,sports car,770.48
9802,wa,f,high school or below,81.86,43877.0,102.0,0.0,corporate auto,suv,414.71
9803,nv,m,bachelor,47.68,0.0,72.0,0.0,corporate auto,four-door car,345.6
9804,ca,m,bachelor,84.75,58488.0,73.0,2.0,personal auto,four-door car,350.4
9805,ca,f,bachelor,47.23,29193.0,61.0,3.0,corporate auto,four-door car,292.8
9806,az,f,college,104.85,61108.0,89.0,0.0,personal auto,four-door car,49.45
9807,or,f,college,33.05,23931.0,95.0,0.0,personal auto,four-door car,456.0
9808,ca,m,college,50.02,0.0,70.0,0.0,personal auto,four-door car,504.0
9809,ca,m,college,76.07,0.0,104.0,0.0,personal auto,suv,638.41
9810,nv,f,bachelor,28.03,34628.0,71.0,0.0,personal auto,four-door car,132.52
9811,ca,f,high school or below,74.55,74089.0,94.0,2.0,personal auto,four-door car,648.69
9812,ca,f,high school or below,217.67,0.0,290.0,0.0,personal auto,luxury car,1550.6
9813,or,f,college,73.17,30493.0,62.0,1.0,personal auto,two-door car,108.09
9814,or,m,bachelor,74.44,89285.0,93.0,0.0,corporate auto,two-door car,243.55
9815,or,f,high school or below,30.87,92147.0,77.0,2.0,personal auto,four-door car,278.48
9816,wa,f,bachelor,67.28,39428.0,84.0,2.0,personal auto,two-door car,72.33
9817,ca,m,high school or below,202.66,21542.0,103.0,0.0,special auto,sports car,494.4
9818,ca,f,college,52.65,0.0,72.0,0.0,special auto,four-door car,135.89
9819,az,m,bachelor,85.65,23506.0,113.0,0.0,personal auto,four-door car,813.6
9820,or,f,bachelor,80.86,70811.0,100.0,0.0,personal auto,sports car,141.65
9821,wa,f,bachelor,47.06,0.0,78.0,3.0,corporate auto,four-door car,555.46
9822,or,f,bachelor,42.74,82214.0,106.0,1.0,personal auto,four-door car,239.14
9823,ca,f,high school or below,59.09,71401.0,73.0,0.0,personal auto,four-door car,287.33
9824,or,f,high school or below,417.88,46587.0,119.0,2.0,personal auto,four-door car,571.2
9825,or,f,high school or below,106.34,80046.0,132.0,0.0,personal auto,suv,260.63
9826,az,f,bachelor,54.51,76389.0,68.0,0.0,personal auto,four-door car,262.0
9827,ca,m,doctor,70.36,77235.0,87.0,0.0,personal auto,two-door car,310.16
9828,az,m,high school or below,82.03,38595.0,74.0,3.0,personal auto,four-door car,415.55
9829,az,f,college,87.15,0.0,118.0,0.0,personal auto,suv,566.4
9830,nv,f,master,33.53,55359.0,83.0,0.0,special auto,four-door car,303.33
9831,nv,f,master,50.18,79814.0,62.0,0.0,personal auto,four-door car,31.55
9832,az,f,bachelor,27.53,75277.0,70.0,3.0,corporate auto,two-door car,459.74
9833,or,m,bachelor,26.19,78618.0,66.0,0.0,personal auto,two-door car,225.58
9834,ca,f,doctor,48.67,20123.0,63.0,0.0,personal auto,four-door car,302.4
9835,az,m,college,30.62,88362.0,78.0,0.0,personal auto,two-door car,452.6
9836,or,m,bachelor,35.45,0.0,116.0,3.0,corporate auto,suv,835.2
9837,or,m,college,32.6,52782.0,85.0,4.0,personal auto,four-door car,541.09
9838,ca,f,bachelor,50.95,0.0,137.0,0.0,personal auto,suv,452.3
9839,az,f,high school or below,23.97,22283.0,65.0,0.0,personal auto,four-door car,572.07
9840,ca,m,bachelor,74.28,28848.0,96.0,0.0,corporate auto,two-door car,450.6
9841,ca,f,doctor,25.11,0.0,64.0,0.0,corporate auto,four-door car,437.18
9842,wa,m,high school or below,26.38,54378.0,66.0,0.0,personal auto,four-door car,316.8
9843,ca,m,high school or below,49.69,21827.0,67.0,0.0,special auto,four-door car,321.6
9844,az,f,high school or below,346.11,20090.0,109.0,0.0,personal auto,sports car,523.2
9845,wa,f,college,116.19,27750.0,297.0,1.0,personal auto,luxury car,1425.6
9846,ca,m,high school or below,47.63,57135.0,61.0,0.0,corporate auto,four-door car,156.92
9847,ca,f,bachelor,48.79,58580.0,61.0,0.0,personal auto,four-door car,292.8
9848,or,m,college,43.3,60475.0,107.0,0.0,personal auto,four-door car,513.6
9849,wa,m,college,90.95,37937.0,116.0,0.0,personal auto,suv,556.8
9850,or,f,bachelor,55.24,70360.0,69.0,0.0,personal auto,two-door car,331.2
9851,or,m,college,118.36,0.0,119.0,0.0,personal auto,four-door car,856.8
9852,ca,m,bachelor,25.88,47509.0,66.0,0.0,personal auto,four-door car,93.13
9853,nv,m,master,71.77,27071.0,183.0,0.0,personal auto,luxury car,878.4
9854,az,f,high school or below,278.9,46546.0,99.0,0.0,special auto,four-door car,319.11
9855,az,m,bachelor,72.8,32627.0,67.0,4.0,personal auto,four-door car,54.63
9856,az,m,bachelor,21.52,0.0,65.0,0.0,personal auto,two-door car,460.38
9857,or,f,bachelor,43.34,0.0,116.0,0.0,personal auto,four-door car,1065.62
9858,or,f,college,86.31,0.0,122.0,2.0,personal auto,suv,585.6
9859,az,f,bachelor,47.67,29177.0,64.0,2.0,personal auto,four-door car,307.2
9860,ca,m,college,104.39,88233.0,88.0,0.0,personal auto,four-door car,253.06
9861,wa,f,college,37.47,0.0,107.0,0.0,personal auto,suv,549.99
9862,or,m,bachelor,66.17,0.0,195.0,0.0,personal auto,luxury suv,1404.0
9863,ca,f,college,38.22,79189.0,95.0,0.0,corporate auto,two-door car,50.17
9864,or,f,master,28.63,41077.0,71.0,0.0,personal auto,two-door car,82.42
9865,az,f,bachelor,94.21,47048.0,118.0,0.0,personal auto,suv,566.4
9866,ca,m,doctor,87.68,45484.0,111.0,0.0,corporate auto,four-door car,532.8
9867,ca,m,master,45.72,79453.0,115.0,0.0,personal auto,suv,242.1
9868,az,f,college,145.14,88753.0,181.0,0.0,personal auto,luxury suv,868.8
9869,wa,m,high school or below,25.88,0.0,74.0,0.0,personal auto,four-door car,851.02
9870,nv,m,college,62.43,73945.0,78.0,0.0,personal auto,two-door car,330.87
9871,wa,f,college,27.2,14030.0,72.0,0.0,personal auto,two-door car,345.6
9872,or,m,bachelor,27.19,81799.0,68.0,0.0,personal auto,four-door car,326.4
9873,or,f,high school or below,48.04,23634.0,62.0,0.0,personal auto,two-door car,440.19
9874,ca,m,bachelor,28.57,0.0,78.0,0.0,personal auto,four-door car,374.4
9875,or,f,bachelor,51.7,56334.0,65.0,0.0,corporate auto,two-door car,421.56
9876,or,f,bachelor,40.83,23206.0,107.0,0.0,personal auto,sports car,513.6
9877,or,m,high school or below,29.6,28140.0,85.0,0.0,personal auto,four-door car,612.0
9878,az,f,high school or below,164.68,0.0,63.0,0.0,personal auto,four-door car,685.13
9879,ca,m,high school or below,127.79,0.0,88.0,0.0,special auto,four-door car,633.6
9880,ca,m,bachelor,121.69,14973.0,115.0,0.0,personal auto,suv,828.0
9881,or,f,bachelor,62.41,0.0,87.0,0.0,personal auto,four-door car,712.4
9882,nv,f,doctor,54.43,25884.0,69.0,3.0,personal auto,four-door car,292.27
9883,or,m,master,35.52,11607.0,96.0,0.0,corporate auto,four-door car,313.35
9884,nv,m,master,241.38,53691.0,67.0,0.0,personal auto,four-door car,175.98
9885,or,m,bachelor,154.15,89464.0,194.0,1.0,personal auto,luxury suv,1067.29
9886,or,f,high school or below,55.17,60596.0,71.0,4.0,personal auto,four-door car,180.34
9887,nv,m,bachelor,134.49,43720.0,117.0,1.0,personal auto,suv,561.6
9888,ca,m,high school or below,66.89,56980.0,84.0,0.0,personal auto,two-door car,599.0
9889,or,f,college,72.23,0.0,68.0,0.0,personal auto,four-door car,350.21
